CountyID,NAME,Participan,POPESTIMAT,Shape_Area
4013,Maricopa,421304,4485414,23919864041
4027,Yuma,41680,213787,14326674857
6025,Imperial,41527,181215,11604425507
6065,Riverside,255904,2470546,18915806160
6073,San Diego,277917,3338330,11822660440
6015,Del Norte,5436,27812,3123583184
6023,Humboldt,22720,135558,10335567226
41003,Benton,8366,93053,1737381176
41007,Clatsop,6541,40224,2871557875
41011,Coos,14115,64487,4662978840
41015,Curry,4270,22925,5113223299
41019,Douglas,22954,110980,13250244650
41033,Josephine,19777,87487,4213837763
41041,Lincoln,9643,49962,3133830706
41053,Polk,10575,86085,1943402981
41057,Tillamook,4267,27036,3460175525
41071,Yamhill,14276,107100,1865931521
53009,Clallam,10702,77331,7053921718
31053,Dodge,3365,36565,1445791692
53027,Grays Harbor,15690,75061,5845243045
53031,Jefferson,3442,32221,5718299061
53045,Mason,10387,66768,2715651666
31059,Fillmore,317,5462,1485565957
53049,Pacific,4022,22471,3195540731
53069,Wahkiakum,652,4488,722151022.8
31109,Lancaster,26223,319090,2183388567
6035,Lassen,3220,30573,12203122474
6049,Modoc,1444,8841,10827940844
31141,Platte,1890,33470,1773610219
6089,Shasta,24444,180080,9902526504
6093,Siskiyou,7049,43539,16387506057
6105,Trinity,1757,12285,8260027468
31143,Polk,199,5213,1123912045
32013,Humboldt,1838,16831,24858498165
32027,Pershing,538,6725,15623358144
32031,Washoe,45416,471519,16903927129
31151,Saline,1037,14224,1483813567
41001,Baker,3139,16124,7949007849
41005,Clackamas,38787,418187,4894284898
41013,Crook,4472,24404,7721371757
31155,Saunders,896,21578,1921816149
41017,Deschutes,22341,197692,7896197066
41021,Gilliam,262,1912,3158563383
31159,Seward,628,17284,1482322356
31185,York,881,13679,1483786117
41023,Grant,1199,7199,11761767626
31027,Cedar,319,8402,1924323975
41025,Harney,1257,7393,26467608979
41027,Hood River,2497,23382,1407498276
31039,Cuming,456,8846,1482563517
41029,Jackson,40692,220944,7269145106
41031,Jefferson,5964,24658,4609954691
41035,Klamath,16968,68238,15827807697
31043,Dakota,2106,20026,697975351.4
41037,Lake,1399,7869,21533054277
31051,Dixon,165,5636,1217219193
41039,Lane,63284,382067,12193811004
41043,Linn,22643,129749,6093087806
41045,Malheur,7576,30571,25588077527
31119,Madison,2774,35099,1482789783
41047,Marion,58133,347818,2969846844
41049,Morrow,2188,11603,5301788796
41051,Multnomah,123503,812855,1220377611
31139,Pierce,418,7148,1482516321
31167,Stanton,136,5920,1111677517
31173,Thurston,2052,7224,1026979639
31179,Wayne,456,9385,1143832262
46027,Clay,943,14070,1096430768
41055,Sherman,277,1780,2183055233
46127,Union,510,15932,1182826525
41059,Umatilla,13401,77950,8415075199
41061,Union,4712,26835,5256457142
41065,Wasco,4623,26682,6185158039
46135,Yankton,1633,22814,1379193079
41067,Washington,47459,601592,1887900686
41069,Wheeler,168,1332,4455788159
6045,Mendocino,11987,86749,9954164974
53011,Clark,51480,488241,1695111812
19021,Buena Vista,1707,19620,1498168525
53039,Klickitat,3380,22425,4928453333
41009,Columbia,7244,52354,1762238092
53001,Adams,3679,19983,5017910005
19035,Cherokee,756,11235,1490948975
53005,Benton,27158,204390,4563370374
53007,Chelan,8589,77200,7784713969
19047,Crawford,1546,16820,1844921154
53013,Columbia,619,3985,2279146583
53015,Cowlitz,21438,110593,3028184070
53017,Douglas,4419,43429,4828205857
53019,Ferry,1464,7627,5885970935
19085,Harrison,1260,14049,1817238071
53021,Franklin,13563,95222,3281129516
53023,Garfield,298,2225,1931355445
53025,Grant,16586,97733,7311700642
19093,Ida,553,6860,1114913527
53029,Island,6093,85141,1308348786
53033,King,166869,2252782,5953729096
53035,Kitsap,24540,271473,1474525357
19133,Monona,980,8615,1766429201
53037,Kittitas,4018,47935,6075645011
53041,Lewis,14299,80707,6342605677
53043,Lincoln,1357,10939,6070621878
19149,Plymouth,1285,25177,2240318802
53047,Okanogan,8440,42243,13887160296
53053,Pierce,111164,904980,4694144780
53055,San Juan,874,17582,1573124173
53057,Skagit,15831,129205,5097215182
19161,Sac,612,9721,1492407466
53059,Skamania,1207,12083,4351855559
53061,Snohomish,65659,822083,5782129718
19165,Shelby,882,11454,1525890098
53065,Stevens,7550,45723,6630061015
53067,Thurston,32971,290536,2030523038
53071,Walla Walla,7976,60760,3386091099
19193,Woodbury,13866,103107,2273907623
53073,Whatcom,23726,229247,6482169538
53075,Whitman,3245,50104,5614692799
53077,Yakima,53383,250873,11236830767
31021,Burt,462,6459,1310177167
16009,Benewah,963,9298,2080083184
16017,Bonner,3637,45739,4991302752
19071,Fremont,756,6960,1317525709
16021,Boundary,968,12245,3340696261
16035,Clearwater,728,8756,6453223625
16049,Idaho,930,16667,21833644362
19129,Mills,1199,15109,1139959376
16055,Kootenai,12152,165697,3442489694
19137,Montgomery,1398,9917,1094978434
16057,Latah,2009,40108,2775498661
16061,Lewis,490,3838,1292604220
19145,Page,1693,15107,1377749796
16069,Nez Perce,3281,40408,2207371661
16079,Shoshone,1936,12882,6860862840
19155,Pottawattamie,12791,93206,2489960021
29005,Atchison,376,5143,1385628146
31025,Cass,1267,26248,1459616178
31055,Douglas,59669,571327,871365350.1
31097,Johnson,321,5071,971171086.7
31127,Nemaha,539,6972,1058688097
31131,Otoe,1178,16012,1601275236
31153,Sarpy,8365,187196,622652397.8
31177,Washington,697,20729,991668247.8
38003,Barnes,658,10415,3938145439
38005,Benson,2013,6832,3717088061
38015,Burleigh,4307,95626,4272130708
38021,Dickey,221,4872,2964604792
38027,Eddy,162,2287,1692394304
6037,Los Angeles,1187280,10039107,12790273112
38029,Emmons,195,3241,4041361932
38031,Foster,165,3210,1685027101
6059,Orange,210502,3175692,2460963911
38039,Griggs,81,2231,1868841920
6083,Santa Barbara,40743,446499,9446571222
6111,Ventura,66397,846006,5513315699
38043,Kidder,136,2480,3832546273
38045,LaMoure,99,4046,2989896242
6047,Merced,54625,277680,5092635360
6053,Monterey,38345,434061,9718709033
38047,Logan,80,1850,2625626683
6069,San Benito,4709,62808,3555547960
38049,McHenry,327,5745,4969796465
6079,San Luis Obispo,16465,283111,9254575403
38051,McIntosh,139,2497,2583740564
6081,San Mateo,22000,766573,1902113800
6085,Santa Clara,83969,1927852,3335676719
38063,Nelson,171,2879,2632568093
38069,Pierce,205,3975,2879447217
6087,Santa Cruz,24703,273213,1480302507
6001,Alameda,108637,1671329,2152326340
6005,Amador,2715,39752,1554700040
38071,Ramsey,1045,11519,3428904544
6007,Butte,30197,219186,4296246418
38083,Sheridan,48,1315,2615982468
38093,Stutsman,1255,20704,5951179299
6009,Calaveras,4985,45905,2615104232
6011,Colusa,1483,21547,3053213414
38095,Towner,119,2189,2725652141
6013,Contra Costa,62166,1153526,2074112643
38103,Wells,261,3834,3363633661
6017,El Dorado,11558,192843,4648767026
38019,Cavalier,128,3762,3952372650
6021,Glenn,3492,28393,3345538803
38079,Rolette,4712,14176,2458317023
6033,Lake,12904,64386,3452155316
27069,Kittson,261,4298,2876200978
6041,Marin,10177,258826,2130057420
27135,Roseau,732,15165,4415018729
6055,Napa,5689,137744,2010801924
38067,Pembina,351,6801,2949156443
6057,Nevada,8101,99755,2510244652
27005,Becker,3033,34423,3747273706
6061,Placer,15365,398329,3796772733
6063,Plumas,2239,18807,6782103742
6067,Sacramento,216319,1552058,2527326880
6075,San Francisco,61708,881549,569585399.3
27027,Clay,6671,64222,2771637494
6077,San Joaquin,99547,762148,3721807066
6091,Sierra,248,3005,2458396588
6095,Solano,39171,447643,2346228856
6097,Sonoma,27694,494336,4539152301
6099,Stanislaus,77133,550660,3869808031
27029,Clearwater,873,8818,2719436893
6101,Sutter,11885,96971,1561790307
27041,Douglas,2089,38141,1882778595
6103,Tehama,10115,65084,7604091431
27051,Grant,454,5972,1480648337
27087,Mahnomen,1395,5527,1517452301
6113,Yolo,19592,220500,2644248147
27089,Marshall,491,9336,4728046565
6115,Yuba,14287,78668,1641144490
27107,Norman,517,6375,2281894816
6003,Alpine,141,1129,1936741197
27111,Otter Tail,3333,58746,5785921076
6043,Mariposa,2105,17203,3790588293
27113,Pennington,931,14119,1612808137
27119,Polk,3400,31364,5230665313
6051,Mono,626,14444,8068064939
6109,Tuolumne,4967,54478,5911837248
27125,Red Lake,304,4055,1129261127
27167,Wilkin,584,6207,1977857080
32001,Churchill,3555,24909,12965561522
38017,Cass,11126,181923,4544235316
32005,Douglas,2376,48905,1901906467
32009,Esmeralda,82,873,9241001731
38035,Grand Forks,4293,69451,3709249805
32019,Lyon,6339,57510,5183644794
32021,Mineral,799,4505,9824756439
38073,Ransom,263,5218,2244132519
27061,Itasca,4319,45130,7677032148
38077,Richland,1226,16177,3731674552
32029,Storey,128,4123,691897956.7
27065,Kanabec,1340,16337,1379118245
32510,Carson City,7186,55916,379188886.9
27071,Koochiching,1140,12229,8298109960
38081,Sargent,179,3898,2247766396
6019,Fresno,222290,999101,15384369007
38091,Steele,72,1890,1869947975
6029,Kern,161341,900202,21088450766
27075,Lake,487,10641,7770067408
38097,Traill,396,8036,2246587046
27077,Lake of the Woods,235,3740,4654047024
6031,Kings,24614,152940,3596969277
38099,Walsh,759,10641,3366531278
27095,Mille Lacs,1973,26277,1772870690
26053,Gogebic,2204,13975,3870650562
27097,Morrison,2280,33386,2997649321
6039,Madera,27220,157327,5620781089
27115,Pine,2604,29579,3702919994
26131,Ontonagon,619,5720,9713544659
6107,Tulare,118891,466195,12480526031
27137,St. Louis,17812,199070,17822915587
27001,Aitkin,1335,15886,5188792009
4005,Coconino,16358,143476,48126375753
27007,Beltrami,7283,47188,7948413772
27153,Todd,1536,24664,2532320301
27017,Carlton,2266,35871,2278324028
27159,Wadena,1454,13682,1404987386
4015,Mohave,32313,212181,34701278830
55003,Ashland,2655,15562,5940824898
27021,Cass,3962,29779,6221649454
55007,Bayfield,1515,15036,5313911316
27031,Cook,255,5463,8674478798
27035,Crow Wing,3948,65055,3044804538
4025,Yavapai,18366,235099,20916381309
55013,Burnett,2056,15414,2308949217
27057,Hubbard,1893,21491,2597998405
55031,Douglas,4898,43150,3847353379
6027,Inyo,1840,18039,26311650321
55051,Iron,693,5687,2394977215
6071,San Bernardino,344663,2180085,51889508118
55113,Sawyer,2578,64442,3507145747
55125,Vilas,2740,22195,2598119622
32003,Clark,352286,2266715,20874751147
55129,Washburn,1893,15720,2206063885
32011,Eureka,98,2029,10804383632
19001,Adair,585,7152,1470152991
19003,Adams,311,3602,1097021170
32015,Lander,453,5532,14197183123
19029,Cass,1531,12836,1457106817
19039,Clarke,997,9395,1111666899
19053,Decatur,845,7870,1375780619
32017,Lincoln,495,5183,27399800652
19121,Madison,855,16338,1458704714
19159,Ringgold,424,4894,1386848759
32023,Nye,9411,46523,46787450687
19173,Taylor,554,6121,1386899620
32033,White Pine,1061,9580,22928283998
19175,Union,1470,12241,1097441225
29081,Harrison,1098,8352,1878033529
49001,Beaver,492,6710,6714474981
29147,Nodaway,1191,22092,2273899031
29227,Worth,186,2013,686655790.9
49021,Iron,4678,54839,8468659304
19009,Audubon,459,5496,1142295349
19015,Boone,1812,26234,1478648832
49023,Juab,635,12017,8764195886
19025,Calhoun,780,9668,1475719859
19027,Carroll,1518,20165,1470825643
49027,Millard,817,13188,17604330663
49031,Piute,146,1479,1941822327
19049,Dallas,3083,93453,1518462096
19073,Greene,939,8888,1473182438
49041,Sevier,1982,21620,4915216256
19077,Guthrie,837,10689,1518023617
19079,Hamilton,971,14773,1498606192
49053,Washington,9755,177556,6296706081
19091,Humboldt,719,9558,1125432386
55095,Polk,3514,43783,2487630528
19151,Pocahontas,603,6619,1492465354
55109,St. Croix,3770,115340,1900893442
19187,Webster,4792,35904,1854631907
19033,Cerro Gordo,4102,42450,1485482586
4012,La Paz,3210,21108,11734206258
19197,Wright,1257,12562,1502039258
19089,Howard,544,9158,1223391250
