StateFIPS,NAME,STATE_ABBR,Shape_Leng,Shape_Area
1,Alabama,AL,1789069.974,1.35856E+11
4,Arizona,AZ,2396185.521,2.94737E+11
5,Arkansas,AR,2175094.727,1.37365E+11
6,California,CA,4196615.561,4.2232E+11
8,Colorado,CO,2096907.182,2.68188E+11
9,Connecticut,CT,527833.1989,14292694226
10,Delaware,DE,419111.5523,6410877840
11,District of Columbia,DC,66942.64812,176062877.8
12,Florida,FL,3293524.055,1.72174E+11
13,Georgia,GA,2132054.409,1.54043E+11
16,Idaho,ID,2962068.04,2.16296E+11
17,Illinois,IL,2187912.141,1.4924E+11
18,Indiana,IN,1701330.182,93836803774
19,Iowa,IA,1870773.362,1.45155E+11
20,Kansas,KS,2003885.814,2.11975E+11
21,Kentucky,KY,2175540.559,1.04131E+11
22,Louisiana,LA,2643019.92,1.36246E+11
23,Maine,ME,1798991.572,91697960580
24,Maryland,MD,1419084.02,31957277411
25,Massachusetts,MA,1095542.497,27224390546
26,Michigan,MI,2680650.529,2.50543E+11
27,Minnesota,MN,3102448.41,2.25927E+11
28,Mississippi,MS,2401385.715,1.25555E+11
29,Missouri,MO,2385192.661,1.79612E+11
30,Montana,MT,3168512.9,3.82719E+11
31,Nebraska,NE,2182861.559,1.99427E+11
32,Nevada,NV,2364250.847,2.84932E+11
33,New Hampshire,NH,978905.5308,24163303079
34,New Jersey,NJ,834606.5035,22473704496
35,New Mexico,NM,2390090.497,3.14341E+11
36,New York,NY,2360364.878,1.40857E+11
37,North Carolina,NC,2166911.999,1.38907E+11
38,North Dakota,ND,2122698.04,1.84213E+11
39,Ohio,OH,1616126.731,1.15505E+11
40,Oklahoma,OK,2686177.365,1.80413E+11
41,Oregon,OR,2353966.191,2.54378E+11
42,Pennsylvania,PA,1636474.542,1.1869E+11
44,Rhode Island,RI,355963.3394,3983264442
45,South Carolina,SC,1539259.297,82823332169
46,South Dakota,SD,2119915.36,1.99546E+11
47,Tennessee,TN,2118361.171,1.08738E+11
48,Texas,TX,5840350.661,6.98263E+11
49,Utah,UT,1968386.659,2.18747E+11
50,Vermont,VT,920198.0233,24865326866
51,Virginia,VA,2330061.893,1.10234E+11
53,Washington,WA,1987802.949,1.85766E+11
54,West Virginia,WV,2027963.326,62419716023
55,Wisconsin,WI,2146314.238,1.69555E+11
56,Wyoming,WY,2026930.228,2.52577E+11
